project,genome,file_accession,type,output_type,replicates,pipe
ENCSR619UPN,GRCh38,ENCFF810OHB,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR619UPN,GRCh38,ENCFF921GOQ,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR619UPN,GRCh38,ENCFF205DTM,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR326AQV,GRCh38,ENCFF016TWL,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR326AQV,GRCh38,ENCFF456SMZ,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR326AQV,GRCh38,ENCFF197UOI,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR251XFX,GRCh38,ENCFF598CBU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR251XFX,GRCh38,ENCFF949OZT,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR251XFX,GRCh38,ENCFF149MHQ,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR052FXA,GRCh38,ENCFF135VAJ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR052FXA,GRCh38,ENCFF458MTJ,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR052FXA,GRCh38,ENCFF714ZVL,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR213VUI,GRCh38,ENCFF448LKL,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR213VUI,GRCh38,ENCFF033OKS,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR213VUI,GRCh38,ENCFF834IRW,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR213VUI,GRCh38,ENCFF514DDG,bed narrowPeak,optimal IDR thresholded peaks,"1, 2",ENCODE3
ENCSR639IIZ,GRCh38,ENCFF951QPJ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
